Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc04g008930.2	0.0021128802037974222	0
Solyc05g054240.3	0.0021128802037974222	0
Solyc05g008500.3	0.0021128802037974222	0
Solyc06g050160.4	0.0021128802037974222	0
Solyc06g071630.2	0.0021128802037974222	0
Solyc12g042740.2	0.0021128802037974222	0
Solyc01g065490.5	0.0021142815446033086	0
Solyc01g108517.1	0.0021142815446033086	0
Solyc02g068390.3	0.0021142815446033086	0
Solyc01g104190.2	0.0021142815446033086	0
Solyc02g078700.3	0.0021142815446033086	0
Solyc03g060510.5	0.0021142815446033086	0
Solyc04g016480.3	0.0021142815446033086	0
Solyc01g102830.3	0.0021142815446033086	0
Solyc05g008450.3	0.0021142815446033086	0
Solyc07g052210.3	0.0021142815446033086	0
Solyc06g061050.5	0.0021142815446033086	0
Solyc09g010300.3	0.0021142815446033086	0
Solyc09g010470.3	0.0021142815446033086	0
Solyc08g062370.4	0.0021142815446033086	0
Solyc10g084640.1	0.0021142815446033086	0
Solyc10g011770.4	0.0021142815446033086	0
Solyc10g080610.1	0.0021142815446033086	0
Solyc11g005720.1	0.0021142815446033086	0
Solyc12g038550.1	0.0021142815446033086	0
Solyc11g006680.3	0.0021142815446033086	0
Solyc11g062410.3	0.0021142815446033086	0
Solyc10g052470.1	0.0021142815446033086	0
Solyc10g078160.2	0.0021142815446033086	0
Solyc04g071790.4	0.00220598602981973	0
Solyc12g036920.1	0.0022811899346983433	0
Solyc04g026315.2	0.002331794750049488	0
Solyc10g018760.1	0.002342456416543114	0
Solyc02g080145.1	0.002343981970494737	0
Solyc01g079370.5	0.002345508139285633	0
Solyc08g005880.4	0.0023470349229672144	0
Solyc10g083180.3	0.0023470349229672144	0
Solyc02g093740.3	0.0023485623215908683	0
Solyc01g081410.4	0.0023485623215908683	0
Solyc03g063650.1	0.0023485623215908683	0
Solyc05g050990.1	0.0023485623215908683	0
Solyc12g009230.3	0.0023485623215908683	0
Solyc01g097330.3	0.0023500903352079066	0
Solyc02g014170.3	0.0023500903352079066	0
Solyc02g094150.4	0.0023500903352079066	0
Solyc02g068770.5	0.0023500903352079066	0
Solyc01g094260.4	0.0023500903352079066	0
Solyc01g105060.3	0.0023500903352079066	0
Solyc01g099860.3	0.0023500903352079066	0
Solyc01g110110.3	0.0023500903352079066	0
Solyc01g087710.2	0.0023500903352079066	0
Solyc01g110680.4	0.0023500903352079066	0
Solyc03g005050.3	0.0023500903352079066	0
Solyc04g078820.4	0.0023500903352079066	0
Solyc05g014700.3	0.0023500903352079066	0
Solyc08g023500.5	0.0023500903352079066	0
Solyc08g065940.5	0.0023500903352079066	0
Solyc06g067940.4	0.0023500903352079066	0
Solyc07g006640.3	0.0023500903352079066	0
Solyc09g010370.3	0.0023500903352079066	0
Solyc07g064890.1	0.0023500903352079066	0
Solyc08g068480.1	0.0023500903352079066	0
Solyc08g005670.2	0.0023500903352079066	0
Solyc09g091990.4	0.0023500903352079066	0
Solyc12g006460.2	0.0023500903352079066	0
Solyc12g056510.3	0.0023500903352079066	0
Solyc01g009260.1	0.0024103700385358136	0
Solyc12g011230.1	0.0024331997167634967	0
Solyc03g113480.1	0.002457715583564178	0
Solyc05g053980.1	0.0024593035495862146	0
Solyc12g011420.2	0.0024593035495862146	0
Solyc03g150142.1	0.0024752179541458947	0
Solyc03g119160.3	0.0024752179541458947	0
Solyc05g150111.1	0.00251264218410096	0
Solyc04g079020.4	0.0025134772918937827	0
